"dates","332367N1167165W001","332742N1166846W001","332839N1167395W001","332867N1167043W001","333103N1166879W001","334686N1176782W002","335006N1176517W001","338733N1175573W001","338764N1175537W001","338773N1175745W001","338782N1175605W002","338784N1175800W001","338788N1175752W001","338800N1175766W001","338828N1175829W001","338830N1176016W001","339265N1176217W001","339526N1176523W001","339681N1176730W001","339898N1176931W001","340253N1170971W001","341006N1177096W001","341019N1177576W001","341142N1177258W001","341219N1176980W001","341359N1176807W001","341416N1176876W001","341514N1176794W001","344540N1192358W001","345951N1201600W001","346051N1202013W001","346153N1202501W001","346440N1204300W001","346565N1204303W001","346606N1204485W001","353618N1192169W001","353618N1192169W002","353620N1191457W001","353620N1191457W002","353693N1192870W001","353760N1192498W001","353760N1192498W002","353890N1191471W001","353915N1193454W001","357944N1190845W001","365909N1180574W001","368896N1206702W001","369616N1218787W001","369633N1218694W001","369723N1219572W001","369786N1219031W001","369829N1218748W001","369857N1219170W001","370173N1208999W001","370173N1208999W002","371583N1216425W001","371639N1216614W001","372508N1218420W001","372907N1210875W002","373287N1218681W001","373529N1218244W001","374316N1210994W001","374316N1210994W003","375376N1220399W001","375376N1220399W002","375376N1220399W003","375615N1220103W001","375616N1220103W001","375633N1219678W001","375892N1220587W001","375892N1220588W001","375893N1220588W001","375893N1220588W002","375893N1220589W001","382553N1224422W002","382654N1224684W004","382654N1224685W001","384782N1227656W001","387755N1212753W001","387755N1212753W002","387786N1213737W003","387816N1213870W001","387816N1213870W002","388476N1212872W001","388476N1212872W002","388604N1213544W001","388604N1213544W002","388604N1213544W003","388604N1213544W004","388826N1213078W001","388826N1213078W002","388893N1212847W001","388971N1213301W001","388971N1213301W002","389011N1213514W001","389255N1213566W001","389255N1213566W002","390084N1214989W001","390174N1214630W001","390174N1214630W003","390214N1214057W001","390458N1216114W004","390461N1214606W001","390756N1213859W001","390863N1215340W001","391114N1215105W001","392094N1215414W001","392145N1214873W001","392406N1214951W001","392406N1214951W002","392406N1214951W003","392727N1215762W001","392727N1215762W002","392952N1215180W001"
"2015-01",35.98,31.05,51.62,103.52,33.42,19.5205714285714,38.216,151,111.6,162.6,108.55,154.75,126,119,122.8,142.6,34.02,19.6,30.13,60.48,331.6,167.64,171.68,96.84,245.413684210526,280.421818181818,285.93641025641,178.36612244898,153.187580645161,30.5,11.7,38.7,52.42,64.4,53.4,230.6,261,225.5,222.3,253,262.6,221.8,185.7,232.5,488.4,17.57,190.76,185.95,218.92,71.05,138.43,151.71,193.3,168.75,87.78,67.536875,35.1134375,33.1240625,15.46,96.2734375,53.565625,71.36,38.44,7.75,26.92,21.25,39.85,53.19,25.83,5.26,15.35,15.18,17.14,17.02,24.04,14.77,12.67,26.24,104.75,48.6,115.86,111.3,111.3,2.02,0.62,58.16,58.89,58.4,34.54,40.95,34.78,19.27,54.12,52.32,42.87,9.21,30.9,39.1795,35.92,34.38,51.981,26.734,44.39925,27.4375,27.0656666666667,25.185,15.52,25.221,98.20125,98.04375,97.2755,26.10575,27.8075,56.29175
"2015-02",35.69,29.11,52.35,105.05,33.61,18.8178787878788,36.8428571428571,159.45,112.95,163.3,109.45,154.2,124.9,115.4,118.6,144.8,33.99,19.45,30.16,58.72,319.6,168.348,171.3,96,246.058333333333,281.374146341463,282.977741935484,179.261891891892,154.948928571429,30.5,11.6,38.1,52.22,68.1,56.1,234,266.4,212.8,208.5,258,255.8,223,183.8,233,483.8,18.52,187.99,185.95,218.92,71.05,137.43,148.71,194.25,165.49,86.45,65.5462068965517,32.7531034482759,32.6937931034483,15.58,98.0486206896552,53.1427586206897,66.87,38.38,6.88,23.97,19.54,39.4,51.78,24.33,4.89,13.89,13.78,15.68,15.53,22.14,16.19,14.11,24.82,104.95,48.9,115.26,110.9,110.8,1.78,0.53,58.31,58.61,58.11,34.24,40.07,34.06,19.04,53.83,52.01,42.2,8.07,30.93,32.50225,34.32,31.7495,50.80225,25.455,42.88275,26.943,26.4865,25.0675,13.6825,23.2863333333333,96.8753333333333,96.86,95.5973333333333,24.92,24.426,51.667
"2015-03",35.52,31.1,52.91,106.6,33.83,18.4148888888889,35.3006060606061,157,104.3,163,104,153.7,124.75,113.5,135.75,144.6,33.79,19.19,30.62,59.77,319.6,168.895806451613,171.51,97.055,245.608378378378,281.409696969697,282.748125,179.33625,155.22185483871,31.2,12.4,39.4,53.1266666666667,68.1,55.8,235.5,264.5,228.9,225.9,258.7,257.8,224.9,185,235.4,486.5,19.26,191.48,186.95,218.92,71.05,138.43,144.21,194.355,169.73,106.78,67.124375,34.21375,32.0925,16.06,94.5134375,50.72625,88.63,41,6.52,25.62,20.11,39.61,52.43,25.72,5.08,14.46,14.32,16.02,15.91,23.72,17.47,15.09,24.48,104.85,48.7,115.06,110.3,110.4,1.79,0.52,56.96,57.88,57.37,33.99,39.92,33.87,19.52,53.67,51.7,42,7.4,30.28,31.448,33.12,31.9226666666667,54.0683333333333,25.066,42.584,26.5316666666667,26.4113333333333,25.031,14.6635,22.75,95.734,95.73725,94.46325,25.556,26.6975,48.54575
"2015-04",35.92,31.7,53.95,108.21,33.95,18.3171428571429,35.0396551724138,168.8,113.75,141.85,106.4,155.9,125.95,116.8,138.05,144.3,33.92,19.23,31.34,62.73,342.6,169.372413793103,173.465,98.05,245.68,282.006,283.341,179.854333333333,173.223416666667,33.1,13.3,39.7,60.32,68.7,56.4,244.5,277.4,236,231.4,266,261.5,226,186.4,237.3,507.8,19.52,195.45,186.95,219.42,72.05,143.43,146.21,195.86,171.98,102.3,70.5906451612903,38.3212903225806,32.5735483870968,16.16,101.471935483871,53.9106451612903,92,41.19,6.62,26.39,21.21,40.29,53.19,27.21,5.39,15.36,15.17,16.87,16.91,35.5,18.28,15.96,25.34,104.75,48.7,114.86,110.1,110.2,1.91,0.69,57.26,58.31,57.77,34.47,40.01,33.96,19.82,53.56,51.53,42.34,9.64,30.43,44.223,33.3663333333333,35.9448,53.979,25.9466666666667,47.4888,27.6624,28.0898,25.0696,20.79925,34.669,94.926,94.83225,94.74,26.099,32.28025,55.94675
"2015-05",35.67,31.77,54.34,109.42,34.17,18.031,34.1236666666667,158.9,115.65,164.25,109.55,153.65,125.25,115.5,137.9,144.7,34.33,19.15,33.27,61.72,338.6,169.911612903226,172.435,98.92,248.486129032258,282.547419354839,284.456129032258,178.59064516129,178.434032258065,35,13.3,39.3,63.72,69.8,57.4,254.5,297.9,237,233.2,269.3,267.7,228.9,188.2,240,532.9,17.69,198.84,186.95,219.42,71.05,142.93,148.21,195.93,172.64,107.74,73.2496875,42.4377419354839,33.878125,16.67,88.37375,50.5171875,96.57,41.88,6.74,24.63,21.09,40.74,53.08,25.85,5.61,15.52,15.41,17.02,17.03,60.61,18.74,16.63,26.33,104.85,48.8,115.16,110.5,110.5,1.86,0.7,59.42,60.87,60.29,35.76,40.06,34.07,19.51,54.74,52.57,50.6,12.28,33.21,71.913,35.04075,45.5435,61.163,29.465,59.367,28.944,33.40075,26.06425,26.9975,51.48375,96.04,96.219,97.74275,29.51675,41.15075,82.16625
"2015-06",35.7,32.05,55.11,110.75,34.51,17.8996428571429,33.8813793103448,154.15,114.85,164.6,110.4,146.7,124.2,117.9,138.55,145.7,34.69,19.72,34.67,63.25,324.6,170.454333333333,177.6,97.5,250.825666666667,282.878,284.255333333333,179.18724137931,185.775833333333,36.3,14.1,41.5,66.22,70.3,58.4,258.9,300.4,240.3,235.9,272,271.3,231,189.2,241.3,551.2,17.16,207.37,205.45,219.42,72.05,143.93,148.71,196.76,173.25,105.61,77.4596774193548,46.0729032258064,36.1077419354839,16.78,83.8028125,47.888064516129,126.51,49.09,7.1,27.88,22.67,41.2,54.59,25.14,8,16.85,16.59,18.1,18.22,37.98,20.06,17.66,27.79,104.75,48.8,116.96,112.8,112.55,2.05,0.9,60.86,61.87,61.36,36.04,40.61,34.86,20.26,55.38,53.36,45.51,15.54,37.74,55.36975,37.032,51.7945,66.45675,33.504,69.6145,29.76725,37.166,27.5015,28.7786666666667,51.2,97.4026666666667,97.5656666666667,99.0753333333333,32.51,50.6886666666667,93.4513333333333
"2015-07",36.71,32.36,55.05,111,34.31,17.833,33.31,155.45,116,165.15,106.3,155,123.25,118,137.75,145.5,34.91,20.16,36.99,65.95,338.6,170.929677419355,174.2,98,252.208709677419,283.338,284.657096774194,180.342903225806,189.622822580645,37.4,15.2,41.9,68.22,72.2,58.5,267,306.4,245.6,240.4,276.5,277.9,232.9,192.2,242,578.033333333333,16.17,213.66,186.95,219.42,72.05,149.43,152.21,199.996666666667,174.73,100.7,81.9375,50.8746875,38.3246875,18.31,81.3434375,46.3665625,134.87,49.19,7.44,28.46,23.44,41.72,55.27,25.58,6.39,17.53,17.36,19.29,19.31,55.01,21.45,19.09,29.92,104.85,49.1,118.46,114.5,114.2,2.22,0.99,62.62,63.58,62.97,36.43,41.15,35.3,19.88,56.9,54.77,54.05,19.62,40.85,71.31725,39.357,57.69375,67.2385,36.51,74.387,30.84275,38.2925,29.162,33.8908,57.4482,99.3516,99.488,101.294,36.7518,51.4662,95.3474
"2015-08",36.08,32.37,56.05,112.61,34.85,17.7066666666667,31.8637931034483,159.2,115.95,155.5,116.5,154.75,123.6,118,138.85,145.9,35.2,20.31,35.99,65.96,342.6,171.449677419355,177.7,98,253.977741935484,283.865161290323,285.392903225806,179.477096774194,191.275403225806,30.5,11.4,39.4,68.32,73.1,59.7,267,294.2,248.6,242.3,285.6,286,240.6,197.3,248,588.1,16.16,214.84,186.95,219.42,72.05,149.93,151.71,201.55,172.23,99.13,85.370625,55.88125,40.17,17.67,79.740625,47.0265625,112.89,30.49,7.84,28.77,23.92,42.13,55.63,26.63,6.67,17.83,17.72,19.89,19.8,49.51,22.63,19.64,31.81,104.65,49.1,119.46,115.7,115.6,2.54,1.2,61.98,63.15,62.59,35.79,41.83,36.05,20.28,57.57,55.45,51.04,21.88,42.03,87.6056666666667,41.7703333333333,57.504,66.2313333333333,39.058,65.608,31.1703333333333,37.9333333333333,29.505,27.22075,40.64575,100.3945,100.42925,101.335,35.19775,47.724,90.29875
"2015-09",36.64,33.52,56.59,113.41,35.06,17.6539285714286,30.694,160.4,120.4,156.15,119.3,154.95,123.7,118.5,130.5,146.2,35.08,20.19,32.34,63.54,331.6,172.031666666667,180.7,98.2,255.58,284.383,286.037333333333,178.784,191.629,30.7,11.5,38.8,66.42,73.9,60.9,266,295.8,245.8,242.6,277.7,290.3,243.3,198.8,248,580.133333333333,15.51,212.07,187.95,220.42,72.05,148.93,152.21,202.115,170.52,93.83,87.758064516129,56.938,41.7383870967742,17.58,87.9796875,54.1025806451613,125,45.63,9.12,29.12,23.88,42.64,56.12,28.02,7.01,17.96,17.78,19.45,19.38,40.02,23.38,18.52,32.9,104.75,49.3,119.76,115.9,115.8,2.61,1.25,61.2,61.85,61.31,34.92,42.11,36.34,20.33,57.53,55.52,48.1,21.74,39.93,62.606,42.70125,48.0475,66.9355,37.254,56.1045,32.46375,35.45675,29.69325,20.1252,27.3938,99.4182,99.4248,98.9564,34.744,42.238,73.0082
"2015-10",36.74,33.75,57.21,113.98,35.61,17.3448275862069,29.3436666666667,159.25,121.75,156,112.2,155.05,123.9,118.3,139.75,145.7,34.35,19.21,30.61,64.17,317.6,172.477741935484,180,98.8,256.637741935484,284.741290322581,286.261612903226,179.78064516129,191.247177419355,32.1,12.4,39.1,62.6733333333333,72.4,61.7,265.1,296,234.5,228.4,278,280.2,243.4,197.5,247.9,568.1,16.94,199.02,187.95,220.42,71.55,148.43,151.71,199.82,170.54,95.33,87.0503125,56.206875,42.9671875,18.38,84.4821875,53.499375,100.26,43.38,8.25,27.5,24.2,42.75,55.82,27.92,7.02,17.87,17.69,19.29,19.15,39.56,23.77,17.94,32.54,105.05,49.6,118.76,114.6,114.5,2.79,1.4,60,60.85,60.24,34.66,42.12,37.87,20.64,57.16,56.78,46.62,19.05,38.15,62.0166666666667,42.649,46.5533333333333,62.9845,35.3666666666667,60.06225,32.43325,36.0496666666667,30.1045,21.47,25.924,98.4315,98.536,98.5955,33.85975,46.808,77.21775
